code,status,url
CLIS00900V,DOWNLOADED,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_Assessoratoistruzioneeformazioneprofessionale/PIR_PubblicaIstruzione/PIR_Infoedocumenti/PIR_DecretiArt68LR212014/PIR_DecretiDirigenziali/PIR_Anno2020/PIR_MAGGIO/894+DDS+del+19_05_2020.pdf
NAIC8F100C,FAILED,https://fondazionepolis.regione.campania.it/sites/fondazionepolis.regione.campania.it/files/allegati/user17/V02_WEB_Folder+16x23+ADURANTE+2025+copia.pdf
RMIS05700X,FAILED,http://www.enricomattei.it/sites/default/files/21-2709-Presentazione+Progetti+PTOF+a.s.+2022_2023.pdf
ORIS009007,DOWNLOADED,https://cires1.colorado.edu/jimenez-group/UsrMtgs/UsersMtg15/A2_Jayne_AMS_Hardware.pdf
PAPC01000V,FAILED,https://www.liceoscadutobagheria.edu.it/attachments/article/22/Richiesta+rilascio+certificato+medico+Scolastico.pdf
PAIC884002,DOWNLOADED,https://cires1.colorado.edu/jimenez-group//UsrMtgs/clinic_2015/06-19-2015_PCJ_ePToF_AMSClinic.pdf
COIS00400G,DOWNLOADED,https://cires1.colorado.edu/jimenez-group/UsrMtgs/UsersMtg15/A2_Jayne_AMS_Hardware.pdf
LEIS04200R,DOWNLOADED,https://www.galileicostascarambone.edu.it/wp-content/uploads/2023/10/RAV_202223_LEIS04200R.pdf
CNIS02800V,DOWNLOADED,https://www.istruzione.it/allegati/2015/DD954_15.pdf
BSIS01700V,FAILED,https://lnx.iccarpignanosesia.edu.it/wp-content/uploads/2018/05/allegato-3-al-PTOF.-obiettivi-metodi-criteri-scuola-secondaria.pdf
CNIS01100D,DOWNLOADED,https://cires1.colorado.edu/jimenez-group//UsrMtgs/clinic_2015/06-19-2015_PCJ_ePToF_AMSClinic.pdf
NATF130009,DOWNLOADED,https://www.polotecnicofermigadda.edu.it/archived_files/files/Ptof_22-25.pdf
BAIS05300C,DOWNLOADED,https://www.iissluigirusso.edu.it/wp-content/uploads/2024/01/BAIS05300C-202225-202324-20240102.pdf
TEIC82400B,DOWNLOADED,https://vecchiosito.iccampli.edu.it/wp-content/uploads/sites/450/Abruzzo.pdf
MNIS00800P,DOWNLOADED,https://www.uat-caserta.it/wp-content/uploads/2023/08/m_pi.AOOUSPCE.REGISTRO-UFFICIALEE.0015883.04-08-2023.pdf
MIRFHT500U,DOWNLOADED,https://www.istitutobarbaramelzi.it/wp-content/uploads/2025/01/RAV-aggiornato-2024-25.pdf
VAPC020001,DOWNLOADED,https://cires1.colorado.edu/jimenez-group/UsrMtgs/UsersMtg15/A2_Jayne_AMS_Hardware.pdf
FGIS007003,DOWNLOADED,https://www.derogatisfioritto.it/att/POF/PTOF_24/RAV_202425_FGIS007003_20250103112525.pdf
SAPC040008,DOWNLOADED,https://www.liceoclassicodesanctis.it/wp-content/uploads/2024/11/sigillo_NOMINA-DOCENTE-SUPPORTO-LABS-noce-signed.pdf
PITD03000R,DOWNLOADED,https://diemmetestsiti.it/grisell/wp-content/uploads/2022/04/VITTIPALDI-AMBITO19_PREISCRIZIONI_FORMAZIONE_DOCENTI_2022-1.pdf
SSPS05000G,DOWNLOADED,https://www.istruzionebrindisi.it/wp-content/uploads/2025/05/m_pi.AOOUSPBR.REGISTRO-UFFICIALEE.0007680.09-05-2025-1.pdf
SAIC8BN00X,FAILED,https://library.psfc.mit.edu/catalog/reports/2020/24ja/24ja088/24ja088_full.pdf
CTSL01000A,FAILED,https://www.regione.sicilia.it/sites/default/files/2025-10/2198+DA_Istr+del+20_10_2025+NOMINA+COLLEGIO+DEI+REVISORI+DEI+CONTI+LICEO+E.+GRECO+AMBITO+528.pdf
TOIS044009,FAILED,https://www.preverprova.it/wp-content/uploads/2024/03/TOIS044009-202225-202223-20230104.pdf
CRIS009009,DOWNLOADED,https://cires1.colorado.edu/jimenez-group/UsrMtgs/UsersMtg15/A2_Jayne_AMS_Hardware.pdf
VRIC851008,DOWNLOADED,https://cires1.colorado.edu/jimenez-group/UsrMtgs/UsersMtg15/A2_Jayne_AMS_Hardware.pdf
MIPMU4500Z,FAILED,https://scuolathomasmore.it/wp-content/uploads/2023/01/PTOF-2021-2024-.pdf
RCIS01600E,DOWNLOADED,https://istruzioneatprc.it/wp-content/uploads/2024/08/Elenco-ambiti-territoriali-dei-revisori-dei-conti-decorrenza-01-09-2024-RC.pdf
LEPM01000Q,DOWNLOADED,https://www.uspbenevento.it/uat/wp-content/uploads/2024/10/annotazione__Interpello-nazionale-per-supplenza-su-classe-di-concorso-BB02-Conversazione-in-lingua-straniera-nella-Scuola-Secondaria-di-Secondo-Gr.pdf
PIPS01000Q,DOWNLOADED,https://cires1.colorado.edu/jimenez-group//UsrMtgs/clinic_2015/06-19-2015_PCJ_ePToF_AMSClinic.pdf
CBIS02600G,DOWNLOADED,https://www.itaspertini.edu.it/site/wp-content/uploads/2025/07/Prot-0012415_timb__timbrato_CBIS02600G-202528-202425-20250701-1.pdf
NUIS006008,FAILED,https://dimensioneorientamento.com/wp-content/uploads/2022/10/piano-triennale-dellofferta-formativa-ptof.pdf
NAIC8C000R,DOWNLOADED,https://www.uat-napoli.it/wp-content/uploads/2025/10/INTERPELLO-SCUOLA-PRIMARIA-POSTO-SOSTEGNO-.pdf
PEIS00300X,DOWNLOADED,https://www.circolodidatticospoltore.edu.it/wp-content/uploads/2021/02/CORSO_FORMAZIONE_DDI_AMBITO_10.pdf
NAIS05800R,DOWNLOADED,https://www.isisdemedici.edu.it/archivio2023/public/files/timbro_DECRETO_ASSEGNAZIONE_CATTEDRE_NAIS05800R(1).pdf
BAIC818001,DOWNLOADED,https://www.icmassarigalilei.edu.it/wp-content/uploads/2023/03/BAIC818001-202225-202223-20230107.pdf
PSTF01000N,DOWNLOADED,https://backend.orbit.dtu.dk/ws/portalfiles/portal/106717071/TransmissionNIR_Kamran_et_al_MAR_69_3.pdf
RMIS09400V,DOWNLOADED,https://www.uspistruzione.fr.it/wp2/wp-content/uploads/2025/10/Interpello-A041_modulo.pdf
CSIC80800Q,DOWNLOADED,https://cdn.prod.website-files.com/63627f5d210eb146b1ed670e/648878267205d7fc7db53bc3_PTOF+22_25+SC.pdf
PEIC83200Q,FAILED,https://comprensivopescara6.edu.it/media/as_24_25/bacheca_sindacale/Relazione+Illustrativa_2024_25.pdf
